name,value,low,high
aA,0.48971473,0,2
aW,4.9138734,0,10
aE,0.24197346,0,2
aN,0.094876416,0,0.1
pWA,0.43628932,0,1
pEA,0.24997402,0,1
pNA,0.91512685,0,1
pAW,0.99258227,0,1
pEW,0,0,1
pNW,0,0,1
pAE,0,0,1
pWE,0,0,1
pNE,0,0,1
pAN,0,0,1
pWN,0.10401742,0,1
pEN,0,0,1
w1,-0.15487177,-1,0
w2,-0.019568024,-1,0
w3,-0.9171713,-1,0
w4,-4.04E-04,-1,0
w5,-1.67E-04,-1,0
b1,0.090598047,0,0.2
b2,-2.14E-04,-5.00E-02,0
bN1,0.048772465,0,0.2
bN2,-7.91E-05,-5.00E-02,0
bH1,0.035185492,0,0.2
bH2,-2.09E-04,-5.00E-02,0
g,-1.8089202,-2,0
gN,-1.1725473,-2,0
gH,-12.535951,-10,-5
pH,0.004596472,0.001,0.01
aH,0.001302583,0.001,0.01
th1,-0.43892271,-3,0
th2,1.2674668,0,3
r,0.25691424,0,1